iter	Passed	Remaining
0	0	689
1	1	621
2	1	603
3	2	586
4	2	587
5	3	580
6	4	573
7	5	622
8	5	626
9	6	620
10	6	616
11	7	613
12	8	610
13	8	604
14	9	602
15	9	599
16	10	601
17	10	596
18	11	592
19	12	589
20	12	587
21	13	586
22	13	585
23	14	582
24	14	582
25	15	581
26	16	582
27	16	580
28	17	578
29	17	577
30	18	575
31	19	575
32	19	574
33	20	571
34	20	569
35	21	569
36	21	567
37	22	568
38	23	567
39	23	566
40	24	565
41	24	563
42	25	562
43	25	560
44	26	560
45	26	559
46	27	559
47	28	558
48	28	557
49	29	556
50	29	555
51	30	553
52	30	552
53	31	554
54	32	555
55	32	553
56	33	553
57	33	552
58	34	551
59	35	549
60	35	547
61	36	546
62	36	544
63	37	543
64	37	543
65	38	543
66	39	543
67	39	542
68	40	541
69	40	541
70	41	540
71	41	539
72	42	539
73	42	537
74	43	536
75	44	535
76	44	534
77	45	533
78	45	532
79	46	531
80	46	529
81	47	530
82	47	526
83	48	525
84	48	525
85	49	525
86	50	525
87	50	525
88	51	525
89	51	524
90	52	523
91	52	522
92	53	522
93	54	521
94	54	520
95	55	519
96	55	518
97	56	517
98	56	516
99	57	515
100	57	514
101	58	513
102	58	513
103	59	513
104	60	513
105	60	513
106	61	512
107	61	511
108	62	510
109	63	509
110	63	508
111	64	508
112	64	508
113	65	507
114	65	507
115	66	506
116	66	504
117	67	504
118	68	504
119	68	503
120	69	502
121	69	500
122	70	499
123	70	499
124	71	498
125	71	497
126	72	496
127	72	495
128	73	494
129	73	493
130	74	491
131	74	490
132	75	489
133	75	489
134	76	489
135	77	489
136	77	488
137	78	488
138	78	487
139	79	486
140	79	486
141	80	484
142	80	483
143	81	482
144	81	482
145	82	481
146	82	480
147	83	479
148	83	478
149	84	477
150	84	476
151	85	476
152	85	475
153	86	475
154	87	474
155	87	473
156	88	472
157	88	472
158	89	471
159	89	470
160	89	468
161	90	467
162	90	466
163	91	466
164	92	466
165	92	466
166	93	466
167	94	466
168	94	466
169	95	465
170	95	464
171	96	464
172	96	463
173	97	462
174	98	462
175	98	461
176	99	460
177	99	459
178	100	459
179	100	458
180	101	457
181	101	456
182	102	456
183	102	455
184	103	454
185	103	454
186	104	454
187	105	454
188	105	453
189	106	452
190	106	451
191	107	451
192	107	450
193	108	450
194	108	449
195	109	449
196	110	448
197	110	448
198	111	447
199	111	447
200	112	446
201	112	446
202	113	445
203	114	445
204	114	444
205	115	443
206	115	443
207	116	443
208	117	443
209	117	442
210	118	441
211	119	443
212	120	443
213	120	443
214	121	442
215	121	442
216	122	441
217	123	442
218	123	442
219	124	442
220	125	441
